,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,PM1,4G,1,1,417.0,660.0,753.0,802.0,2283.0,2413.0,2365.67,2472.2
1,PM1,4G,2,1,717.0,1063.0,1283.0,1365.0,4053.0,4629.0,4336.33,4285.6
2,PM1,4G,4,1,889.0,25035.0,29753.0,30907.0,2080.0,8324.0,4149.28,4253.8
3,PM1,4G,8,1,22204.0,24511.0,25297.0,27080.0,2244.0,14381.0,3261.66,3503.2
4,PM1,8G,1,1,625.0,754.0,965.0,1057.0,1699.0,2410.0,2235.74,2338.6
5,PM1,8G,2,1,745.0,848.0,16410.0,17275.0,2499.0,4649.0,3652.19,3718.8
6,PM1,8G,4,1,1142.0,16109.0,17171.0,17747.0,2206.0,8484.0,3222.41,3340.2
7,PM1,8G,8,1,23200.0,24930.0,27185.0,44774.0,2086.0,14340.0,2719.32,2875.8
8,PM1,16G,1,1,602.0,715.0,987.0,1071.0,1745.0,2406.0,2124.87,2227.2
9,PM1,16G,2,1,784.0,12648.0,14523.0,15047.0,2170.0,4637.0,2990.34,3099.0
10,PM1,16G,4,1,14877.0,16423.0,17800.0,20264.0,2010.0,8391.0,2722.55,2859.0
11,PM1,16G,8,1,23777.0,24825.0,26293.0,30042.0,2081.0,14517.0,2509.61,2654.4
12,PM1,32G,1,1,684.0,743.0,991.0,1130.0,1682.0,2408.0,2037.94,2139.4
13,PM1,32G,2,1,861.0,12937.0,14418.0,15100.0,2023.0,4625.0,2646.06,2755.6
14,PM1,32G,4,1,15112.0,16476.0,17642.0,18743.0,2015.0,8451.0,2527.4,2653.8
15,PM1,32G,8,1,23304.0,24773.0,27237.0,33109.0,1465.0,15040.0,2501.35,2498.8
